followers_count,urls,created_at,text
5220,[],Sat Apr 08 21:17:47 +0000 2017,"RT @BrianaMetz: #Amazon is hiring! Senior #Software Development Engineer: Machine #Learning in #SeattleWAUS, apply now! #job https://t.co/G\xe2\x80\xa6"
5091,[],Sat Apr 08 01:46:27 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
5090,[],Sat Apr 08 01:57:54 +0000 2017,RT @Fisher85M: Big Data Protection in the Age of Machine Learning\n#machinelearning #bigdata #AI #fintech #ML...\xe2\x80\xa6 
5090,[],Sat Apr 08 02:04:09 +0000 2017,RT @dtunkelang: Nice to see @Google pursuing machine learning approaches that protect user privacy by decentralizing training data. https:/\xe2\x80\xa6
5073,[],Fri Apr 07 17:44:22 +0000 2017,RT @nwcadence: Use data to see the future. FREE event! Learn about the power of machine learning #Denver 5/2\xe2\x80\xa6 
4504,[],Sat Apr 08 01:47:43 +0000 2017,RT @Pillai_Sunil: #machinelearning and Its Impact On the Future for Insurance\n#AI #fintech #bigdata #insurtech...\xe2\x80\xa6 
3840,[],Sat Apr 08 01:53:10 +0000 2017,RT @byronreese: 78 free lessons on artificial neural networks &amp; machine learning by Prof. Geoffrey Hinton in 2012. #ML https://t.co/E7dBwyi\xe2\x80\xa6
3627,[],Sat Apr 08 01:49:45 +0000 2017,"RT @armandokirwin: Traditional character rigging will never solve realistic virtual human facial animation, but machine learning + mesh def\xe2\x80\xa6"
3017,[],Sat Apr 08 21:15:52 +0000 2017,RT @chidakash: I made a bot to generate species names using machine learning. #ecology tweeps may enjoy. Follow @undisc_species https://t.c\xe2\x80\xa6
2994,[],Sat Apr 08 20:59:43 +0000 2017,"RT @CityAge: What\xe2\x80\x99s the Difference Between Artificial Intelligence, Machine Learning, and Deep Learning? | #dataeffect https://t.co/atW8nnl\xe2\x80\xa6"
2977,[],Sat Apr 08 01:48:01 +0000 2017,RT @Zambuseta: Tantos millones invertidos en big data y machine learning para que Youtube me siga poniendo anuncios de compresas.
2740,[],Sat Apr 08 21:18:33 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
2496,[],Sat Apr 08 01:47:37 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
2322,[],Sat Apr 08 21:25:32 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
2054,[],Sat Apr 08 21:19:54 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
2043,[],Sat Apr 08 02:00:28 +0000 2017,RT @DeepLearn007: #AI as a job creator? How #machinelearning could change business\n#deeplearning #bigdata #Marketing #ML #DL #tech\xe2\x80\xa6 
2043,[],Sat Apr 08 02:02:58 +0000 2017,RT @DeepLearn007: #machinelearning and Its Impact On the Future for Insurance\n#AI #fintech #bigdata #insurtech #ML #CX #tech\xe2\x80\xa6 
1909,[],Sat Apr 08 01:56:40 +0000 2017,RT @Fisher85M: Big Data Protection in the Age of Machine Learning\n#machinelearning #bigdata #AI #fintech #ML...\xe2\x80\xa6 
1763,[],Sat Apr 08 02:12:32 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
1723,[],Sat Apr 08 21:15:22 +0000 2017,RT @Ronald_vanLoon: Top 20 Recent Research Papers on Machine Learning and Deep Learning | #MachineLearning #MachineIntelligence #RT\xe2\x80\xa6 
1582,[],Sat Apr 08 21:16:30 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
1388,[],Sat Apr 08 20:59:18 +0000 2017,"RT @Ronald_vanLoon: 60+ Free Books on Big Data, Data Science, Data Mining, Machine Learning, Python, R, and more | #DataScience #Bookf\xe2\x80\xa6 "
1374,[],Sat Apr 08 21:15:15 +0000 2017,RT @DeepLearn007: Maximising The Effectiveness Of Your Campaigns W/ #machinelearning #AI #bigdata #marketing #martech #ML #tech\xe2\x80\xa6 
1350,[],Sat Apr 08 01:52:27 +0000 2017,RT @DeepLearn007: #AI as a job creator? How #machinelearning could change business\n#deeplearning #bigdata #Marketing #ML #DL #tech\xe2\x80\xa6 
